年份,学校名称_链接,学校名称,院系名称_链接,院系名称,专业代码,专业名称_链接,专业名称,总分,政治__管综,外语,业务课_一,业务课_二
2017,http://yz.kaoyan365.cn/school/lzu/,兰州大学,http://yz.kaoyan365.cn/school/lzu/yuanxi/9168/,药学院,100703,http://yz.kaoyan365.cn/school/lzu/zhuanye/88310.html,生药学,295,50,50,150,-
2017,http://yz.kaoyan365.cn/school/lzu/,兰州大学,http://yz.kaoyan365.cn/school/lzu/yuanxi/9168/,药学院,100704,http://yz.kaoyan365.cn/school/lzu/zhuanye/88311.html,药物分析学,295,50,50,150,-
2017,http://yz.kaoyan365.cn/school/lzu/,兰州大学,http://yz.kaoyan365.cn/school/lzu/yuanxi/9181/,第一临床医学院,100210,http://yz.kaoyan365.cn/school/lzu/zhuanye/88321.html,外科学（学术学位）,295,50,50,150,-
2017,http://yz.kaoyan365.cn/school/lzu/,兰州大学,http://yz.kaoyan365.cn/school/lzu/yuanxi/9168/,药学院,100702,http://yz.kaoyan365.cn/school/lzu/zhuanye/88309.html,药剂学,295,50,50,150,-
2017,http://yz.kaoyan365.cn/school/lzu/,兰州大学,http://yz.kaoyan365.cn/school/lzu/yuanxi/9168/,药学院,100701,http://yz.kaoyan365.cn/school/lzu/zhuanye/88308.html,药物化学,295,50,50,150,-
2017,http://yz.kaoyan365.cn/school/lzu/,兰州大学,http://yz.kaoyan365.cn/school/lzu/yuanxi/9183/,公共卫生学院,100404,http://yz.kaoyan365.cn/school/lzu/zhuanye/88303.html,儿少卫生与妇幼保健学,320,55,55,180,-
2017,http://yz.kaoyan365.cn/school/lzu/,兰州大学,http://yz.kaoyan365.cn/school/lzu/yuanxi/9183/,公共卫生学院,105300,http://yz.kaoyan365.cn/school/lzu/zhuanye/88306.html,公共卫生,285,45,45,150,-
2017,http://yz.kaoyan365.cn/school/lzu/,兰州大学,http://yz.kaoyan365.cn/school/lzu/yuanxi/9183/,公共卫生学院,100405,http://yz.kaoyan365.cn/school/lzu/zhuanye/88304.html,卫生毒理学,320,55,55,180,-
2017,http://yz.kaoyan365.cn/school/lzu/,兰州大学,http://yz.kaoyan365.cn/school/lzu/yuanxi/9168/,药学院,0703Z1,http://yz.kaoyan365.cn/school/lzu/zhuanye/88307.html,药物化学生物学,300,45,45,80,80
2017,http://yz.kaoyan365.cn/school/lzu/,兰州大学,http://yz.kaoyan365.cn/school/lzu/yuanxi/9183/,公共卫生学院,107401,http://yz.kaoyan365.cn/school/lzu/zhuanye/88305.html,社会医学与卫生事业管理,320,55,55,180,-
2017,http://yz.kaoyan365.cn/school/lzu/,兰州大学,http://yz.kaoyan365.cn/school/lzu/yuanxi/9183/,公共卫生学院,100403,http://yz.kaoyan365.cn/school/lzu/zhuanye/88302.html,营养与食品卫生学,320,55,55,180,-
2017,http://yz.kaoyan365.cn/school/lzu/,兰州大学,http://yz.kaoyan365.cn/school/lzu/yuanxi/9183/,公共卫生学院,100402,http://yz.kaoyan365.cn/school/lzu/zhuanye/88301.html,劳动卫生与环境卫生学,320,55,55,180,-
2017,http://yz.kaoyan365.cn/school/lzu/,兰州大学,http://yz.kaoyan365.cn/school/lzu/yuanxi/9175/,基础医学院,100706,http://yz.kaoyan365.cn/school/lzu/zhuanye/88298.html,药理学,295,50,50,150,-
